index,text,label,text_prob,text_pred,vision_prob,vision_pred,fusion_prob,fusion_pred,fusion_error_type,all_models_agree,fusion_correct_both_wrong
0,[OCR] its their character not their color that matters [/OCR] [CAP] its their character not their color that matters [/CAP] <lang=en>,0,0.14622275531291962,0,0.16536979377269745,0,0.1651906818151474,0,TN,1,0
1,[OCR] don't be afraid to love again S everyone is not like yourex [/OCR] [CAP] don't be afraid to love again everyone is not like your ex [/CAP] <lang=en>,0,0.1316896378993988,0,0.14189095795154572,0,0.1461096704006195,0,TN,1,0
2,[OCR] putting bows on your pet [/OCR] [CAP] putting bows on your pet [/CAP] <lang=en>,0,0.1487516462802887,0,0.03095107711851597,0,0.18017902970314026,0,TN,1,0
3,[OCR] i love everything and everybody! except for squirrels i hate squirrels [/OCR] [CAP] i love everything and everybody! except for squirrels i hate squirrels [/CAP] <lang=en>,0,0.14585992693901062,0,0.1221357136964798,0,0.19247354567050934,0,TN,1,0
4,"[OCR] everybody loves chocolate chip cookies, even hitler [/OCR] [CAP] everybody loves chocolate chip cookies, even hitler [/CAP] <lang=en>",0,0.16227541863918304,1,0.30007943511009216,1,0.21278835833072662,1,FP,1,0
5,[OCR] go sports! do the thing! win the points! [/OCR] [CAP] go sports! do the thing! win the points! [/CAP] <lang=en>,0,0.1490100920200348,0,0.09102312475442886,0,0.18317866325378418,0,TN,1,0
6,[OCR] fine you're right. i now can we fucking drop it? [/OCR] [CAP] fine you're right. now can we fucking drop it? [/CAP] <lang=en>,0,0.13824909925460815,0,0.05378403887152672,0,0.145897775888443,0,TN,1,0
7,[OCR] tattoos are bad for your health i know 5 million people that had tattoos and they all died [/OCR] [CAP] tattoos are bad for your health i know 5 million people that had tattoos and they all died [/CAP] <lang=en>,0,0.14455099403858185,0,0.04955393075942993,0,0.17335571348667145,0,TN,1,0
8,[OCR] how long can i run? till the chain tightens xX [/OCR] [CAP] how long can i run? till the chain tightens [/CAP] <lang=en>,0,0.14165844023227692,0,0.18870757520198822,0,0.1655825823545456,0,TN,1,0
9,"[OCR] what is he hiding? we need to see his tax returns! let me stop you right there hillary harddrives then destroved phones with hammers you deleted 30 0o0 emails, used ileachi lit on truth uncensored [/OCR] [CAP] what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored [/CAP] <lang=en>",0,0.12178800255060196,0,0.014974813908338547,0,0.14902718365192413,0,TN,1,0
10,[OCR] jew mad? get fuhrerious! [/OCR] [CAP] jew mad? get fuhrerious! [/CAP] <lang=en>,1,0.15816102921962738,1,0.2803645730018616,1,0.20363181829452515,1,TP,1,0
11,"[OCR] removes polish with chemicals, nobody bats an eye [/OCR] [CAP] removes polish with chemicals, nobody bats an eye [/CAP] <lang=en>",0,0.15512022376060486,1,0.04989143833518028,0,0.18834134936332703,0,TN,0,0
12,[OCR] brother !. a day without a blast is a day wasted [/OCR] [CAP] brother... a day without a blast is a day wasted [/CAP] <lang=en>,1,0.15011924505233765,1,0.07486143708229065,0,0.1912921816110611,0,FN,0,0
13,[OCR] when you're the only dog left at the dog shelter and the black family wants to adopt you [/OCR] [CAP] when you're the only dog left at the dog shelter and the black family wants to adopt you [/CAP] <lang=en>,0,0.14888545870780945,0,0.32362163066864014,1,0.18138809502124786,0,TN,0,0
14,[OCR] voting for hillary is like letting casey anthony watch your kids because she's not guilty [/OCR] [CAP] voting for hillary is like letting casey anthony watch your kids because she's not guilty [/CAP] <lang=en>,0,0.14557017385959625,0,0.13230055570602417,0,0.17429566383361816,0,TN,1,0
15,[OCR] they will soon be free [/OCR] [CAP] they will soon be free [/CAP] <lang=en>,0,0.14327344298362732,0,0.021527698263525963,0,0.16058769822120667,0,TN,1,0
16,"[OCR] is it ok for your son or daughter to call another man ""daddy? [/OCR] [CAP] is it ok for your son or daughter to call another man ""daddy? [/CAP] <lang=en>",0,0.14415287971496582,0,0.063385508954525,0,0.16081209480762482,0,TN,1,0
17,[OCR] most religions are religions of peace [/OCR] [CAP] most religions are religions of peace [/CAP] <lang=en>,0,0.1486688256263733,0,0.04335938021540642,0,0.173476904630661,0,TN,1,0
18,[OCR] when you find out there's an opening for the role of first lady [/OCR] [CAP] when you find out there's an opening for the role of first lady [/CAP] <lang=en>,0,0.15500223636627197,1,0.05009077861905098,0,0.1893431842327118,0,TN,0,0
19,[OCR] if people reject me because i ONE stand on the truth then i have no problem walking alone [/OCR] [CAP] if people reject me because i stand on the truth then i have no problem walking alone [/CAP] <lang=en>,0,0.13840939104557037,0,0.5404324531555176,1,0.16085661947727203,0,TN,0,0
20,[OCR] foe for being white [/OCR] [CAP] from the bottom of my heart i would like to sincerely apologize..... for being white [/CAP] <lang=en>,0,0.13190194964408875,0,0.09601473063230515,0,0.15505224466323853,0,TN,1,0
21,"[OCR] lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border [/OCR] [CAP] lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border [/CAP] <lang=en>",0,0.1423865407705307,0,0.14073853194713593,0,0.14928020536899567,0,TN,1,0
22,[OCR] just because they do this JUDY dosen't mean they'll do-this [/OCR] [CAP] just because they do this dosen't mean they'll do this [/CAP] <lang=en>,0,0.13621431589126587,0,0.08823426812887192,0,0.14393185079097748,0,TN,1,0
23,[OCR] if there is no race it can't be homicide [/OCR] [CAP] if there is no race it can't be homicide [/CAP] <lang=en>,0,0.15098936855793,1,0.2733146846294403,1,0.1498669534921646,0,TN,0,1
24,[OCR] here's to all my friends who never post about politics or religion [/OCR] [CAP] here's to all my friends who never post about politics or religion [/CAP] <lang=en>,0,0.14510680735111237,0,0.49566650390625,1,0.1586320549249649,0,TN,0,0
25,[OCR] enjoying a day at the beach [/OCR] [CAP] enjoying a day at the beach [/CAP] <lang=en>,0,0.15736931562423706,1,0.034137286245822906,0,0.19804717600345612,0,TN,0,0
26,[OCR] when you come home from a long day of suicide bombinb and your wife gives you this look [/OCR] [CAP] when you come home from a long day of suicide bombinb and your wife gives you this look [/CAP] <lang=en>,0,0.14951637387275696,0,0.28126588463783264,1,0.18473367393016815,0,TN,0,0
27,"[OCR] is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.. [/OCR] [CAP] is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will. [/CAP] <lang=en>",1,0.1474320888519287,0,0.5130398869514465,1,0.2235667109489441,1,TP,0,0
28,[OCR] when they take too long NGO to blow out the candle [/OCR] [CAP] when they take too long to blow out the candle [/CAP] <lang=en>,0,0.14316479861736298,0,0.1804230809211731,0,0.1442646086215973,0,TN,1,0
29,[OCR] one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell [/OCR] [CAP] one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell [/CAP] <lang=en>,0,0.14804357290267944,0,0.22895273566246033,1,0.16873659193515778,0,TN,0,0
30,[OCR] d.j. osama spin laden Spotify Spotify GE3S81 droppin' beats like the twin towers [/OCR] [CAP] d.j. osama spin laden droppin' beats like the twin towers [/CAP] <lang=en>,1,0.15889117121696472,1,0.24227756261825562,1,0.2133117914199829,1,TP,1,0
31,[OCR] move to new york they said it'll be fun they said [/OCR] [CAP] move to new york they said it'll be fun they said [/CAP] <lang=en>,0,0.14496967196464539,0,0.034683119505643845,0,0.16638226807117462,0,TN,1,0
32,[OCR] my sandwich-maker is very slow today [/OCR] [CAP] my sandwich-maker is very slow today [/CAP] <lang=en>,0,0.1565110981464386,1,0.02780933491885662,0,0.1976376175880432,0,TN,0,0
33,[OCR] when vou accidentally fallin thetoilet [/OCR] [CAP] when you accidentally fall in the toilet [/CAP] <lang=en>,0,0.13690827786922455,0,0.15717099606990814,0,0.1300695687532425,0,TN,1,0
34,[OCR] two woman walking home together after a nice day out together [/OCR] [CAP] two woman walking home together after a nice day out together [/CAP] <lang=en>,0,0.1489688903093338,0,0.14413481950759888,0,0.173387348651886,0,TN,1,0
